
Schreibzugriffe,HeapSort,InsertionSort,MergeSort,QuickSortFirstPivot,QuickSortRandomPivot,ShakerSort,BinaryTreeSort
InversTeilsortiert1000,17168,424640,21950,3938,5301,849280,1999
InversTeilsortiert10000,237988,42051746,287230,49438,65919,84103492,19999
InversTeilsortiert100000,3043814,4186649775,3537854,652362,805815,8373299550,199999
Random1000,18142,251651,21950,4742,6123,503302,1999
Random10000,248586,24811075,287230,62794,76815,49622150,19999
Random100000,3150044,2495738388,3537854,780860,914823,4991476776,199999
Teilsortiert1000,19088,78454,21950,2274,3169,156908,1999
Teilsortiert10000,259476,8144650,287230,25770,34917,16289300,19999
Teilsortiert100000,3263704,816067288,3537854,285058,371619,1632134576,199999

Vergleiche,HeapSort,InsertionSort,MergeSort,QuickSortFirstPivot,QuickSortRandomPivot,ShakerSort,BinaryTreeSort
InversTeilsortiert1000,25753,426638,31455,25383,19961,1698726,151592
InversTeilsortiert10000,356983,42071744,418058,369393,255946,167227458,1945382
InversTeilsortiert100000,4565722,4186849773,5178000,4701802,3405765,16707474694,50098786
Random1000,27214,253649,32674,21568,21064,1015239,23960
Random10000,372880,24831073,427626,277405,284597,100912432,336004
Random100000,4725067,2495938386,5274189,3465355,3664740,9969525229,4439242
Teilsortiert1000,28633,80452,31673,41852,14533,327755,164764
Teilsortiert10000,389215,8164648,415956,534325,208071,33477490,2805472
Teilsortiert100000,4895557,816267286,5159120,8736301,2534453,3295975281,67166546

Speicherbedarf,HeapSort,InsertionSort,MergeSort,QuickSortFirstPivot,QuickSortRandomPivot,ShakerSort,BinaryTreeSort
InversTeilsortiert1000,1194784,95936,543040,379008,32000,32096,2441536
InversTeilsortiert10000,16191264,959936,6515520,4251232,320000,320096,31286176
InversTeilsortiert100000,204404128,9599936,75805504,49923968,3200000,3200096,803180640
Random1000,1257120,95936,543040,409088,32000,32096,399424
Random10000,16869536,959936,6515520,4826240,320000,320096,5536128
Random100000,211202848,9599936,75805504,55625056,3200000,3200096,72627936
Teilsortiert1000,1317664,95936,543040,347296,32000,32096,2652288
Teilsortiert10000,17566496,959936,6515520,3609760,320000,320096,45047616
Teilsortiert100000,218477088,9599936,75805504,37373920,3200000,3200096,1076264800

Time,HeapSort,InsertionSort,MergeSort,QuickSortFirstPivot,QuickSortRandomPivot,ShakerSort,BinaryTreeSort
InversTeilsortiert1000,2,13,1,0,2,11,3
InversTeilsortiert10000,3,87,2,4,4,217,9
InversTeilsortiert100000,25,6119,23,26,22,22314,205
Random1000,0,0,0,0,0,1,0
Random10000,3,40,10,0,2,206,2
Random100000,22,3408,46,21,20,21290,51
Teilsortiert1000,0,0,0,0,0,0,0
Teilsortiert10000,0,11,3,1,0,39,18
Teilsortiert100000,17,1160,24,10,10,4479,254

