
HeapSort
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,17168,25753,1194784,0
InversTeilsortiert10000,237988,356983,16191264,2
InversTeilsortiert100000,3043814,4565722,204404128,10
Random1000,18142,27214,1257120,0
Random10000,248586,372880,16869536,0
Random100000,3150044,4725067,211202848,9
Teilsortiert1000,19088,28633,1317664,0
Teilsortiert10000,259476,389215,17566496,1
Teilsortiert100000,3263704,4895557,218477088,6

InsertionSort
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,424640,426638,95936,4
InversTeilsortiert10000,42051746,42071744,959936,41
InversTeilsortiert100000,4186649775,4186849773,9599936,3056
Random1000,251651,253649,95936,0
Random10000,24811075,24831073,959936,17
Random100000,2495738388,2495938386,9599936,1835
Teilsortiert1000,78454,80452,95936,0
Teilsortiert10000,8144650,8164648,959936,6
Teilsortiert100000,816067288,816267286,9599936,590

MergeSort
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,21950,31455,543040,1
InversTeilsortiert10000,287230,418058,6515520,1
InversTeilsortiert100000,3537854,5178000,75805504,18
Random1000,21950,32674,543040,0
Random10000,287230,427626,6515520,1
Random100000,3537854,5274189,75805504,19
Teilsortiert1000,21950,31673,543040,0
Teilsortiert10000,287230,415956,6515520,2
Teilsortiert100000,3537854,5159120,75805504,15

QuickSortFirstPivot
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,3938,25383,379008,0
InversTeilsortiert10000,49438,369393,4251232,2
InversTeilsortiert100000,652362,4701802,49923968,14
Random1000,4742,21568,409088,0
Random10000,62794,277405,4826240,1
Random100000,780860,3465355,55625056,13
Teilsortiert1000,2274,41852,347296,0
Teilsortiert10000,25770,534325,3609760,1
Teilsortiert100000,285058,8736301,37373920,7

QuickSortRandomPivot
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,5461,19063,32000,0
InversTeilsortiert10000,68407,275847,320000,2
InversTeilsortiert100000,726323,3219109,3200000,12
Random1000,6073,21260,32000,0
Random10000,75771,290966,320000,1
Random100000,914731,3649059,3200000,13
Teilsortiert1000,3113,14524,32000,0
Teilsortiert10000,34903,198687,320000,0
Teilsortiert100000,371159,2474166,3200000,5

ShakerSort
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,849280,1698726,32096,7
InversTeilsortiert10000,84103492,167227458,320096,111
InversTeilsortiert100000,8373299550,16707474694,3200096,11862
Random1000,503302,1015239,32096,1
Random10000,49622150,100912432,320096,93
Random100000,4991476776,9969525229,3200096,11328
Teilsortiert1000,156908,327755,32096,1
Teilsortiert10000,16289300,33477490,320096,21
Teilsortiert100000,1632134576,3295975281,3200096,2332

BinaryTreeSort
,Schreibzugriffe,Vergleiche,Speicherbedarf,Time
InversTeilsortiert1000,1999,151592,2441536,2
InversTeilsortiert10000,19999,1945382,31286176,6
InversTeilsortiert100000,199999,50098786,803180640,83
Random1000,1999,23960,399424,0
Random10000,19999,336004,5536128,1
Random100000,199999,4439242,72627936,20
Teilsortiert1000,1999,164764,2652288,1
Teilsortiert10000,19999,2805472,45047616,4
Teilsortiert100000,199999,67166546,1076264800,105
